site,fluorimeter,conc.std.uM,vol.AMC.ul,RFU,conc.AMC.uM,when,fluorophore,conc.AMC.nM
LL,MXS,10,0,368.3,0,PEEC2013,AMC,0
LL,MXS,10,10,2043,0.1,PEEC2013,AMC,100
LL,MXS,10,20,4423,0.2,PEEC2013,AMC,200
LL,MXS,10,30,6323,0.3,PEEC2013,AMC,300
LL,MXS,10,40,8336,0.4,PEEC2013,AMC,400
LL,MXS,10,50,10315,0.5,PEEC2013,AMC,500
LL,MXS,10,60,12484,0.6,PEEC2013,AMC,600
EC,MXS,10,0,2804,0,PEEC2013,AMC,0
EC,MXS,10,10,3208,0.1,PEEC2013,AMC,100
EC,MXS,10,20,5481,0.2,PEEC2013,AMC,200
EC,MXS,10,30,8279,0.3,PEEC2013,AMC,300
EC,MXS,10,40,10151,0.4,PEEC2013,AMC,400
EC,MXS,10,50,12816,0.5,PEEC2013,AMC,500
EC,MXS,10,60,15182,0.6,PEEC2013,AMC,600
SW,MXS,10,0,239.1,0,PEEC2013,AMC,0
SW,MXS,10,10,2768,0.1,PEEC2013,AMC,100
SW,MXS,10,20,5515,0.2,PEEC2013,AMC,200
SW,MXS,10,30,7852,0.3,PEEC2013,AMC,300
SW,MXS,10,40,10302,0.4,PEEC2013,AMC,400
SW,MXS,10,50,12871,0.5,PEEC2013,AMC,500
SW,MXS,10,60,15705,0.6,PEEC2013,AMC,600
PP,MXS,10,0,415,0,PEEC2013,AMC,0
PP,MXS,10,10,2792,0.1,PEEC2013,AMC,100
PP,MXS,10,20,5224,0.2,PEEC2013,AMC,200
PP,MXS,10,30,7730,0.3,PEEC2013,AMC,300
PP,MXS,10,40,10067,0.4,PEEC2013,AMC,400
PP,MXS,10,50,12133,0.5,PEEC2013,AMC,500
PP,MXS,10,60,14817,0.6,PEEC2013,AMC,600
BS,MXS,10,0,2800,0,PEEC2013,AMC,0
BS,MXS,10,10,6041,0.1,PEEC2013,AMC,100
BS,MXS,10,20,7683,0.2,PEEC2013,AMC,200
BS,MXS,10,30,9063,0.3,PEEC2013,AMC,300
BS,MXS,10,40,11803,0.4,PEEC2013,AMC,400
BS,MXS,10,50,13276,0.5,PEEC2013,AMC,500
BS,MXS,10,60,15183,0.6,PEEC2013,AMC,600
FP,MXS,10,0,354.7,0,PEEC2013,AMC,0
FP,MXS,10,10,2686,0.1,PEEC2013,AMC,100
FP,MXS,10,20,5074,0.2,PEEC2013,AMC,200
FP,MXS,10,30,7362,0.3,PEEC2013,AMC,300
FP,MXS,10,40,9796,0.4,PEEC2013,AMC,400
FP,MXS,10,50,12074,0.5,PEEC2013,AMC,500
FP,MXS,10,60,14311,0.6,PEEC2013,AMC,600
BW,MXS,10,0,241.2,0,PEEC2013,AMC,0
BW,MXS,10,10,2644,0.1,PEEC2013,AMC,100
BW,MXS,10,20,5232,0.2,PEEC2013,AMC,200
BW,MXS,10,30,7613,0.3,PEEC2013,AMC,300
BW,MXS,10,40,9991,0.4,PEEC2013,AMC,400
BW,MXS,10,50,12434,0.5,PEEC2013,AMC,500
BW,MXS,10,60,14635,0.6,PEEC2013,AMC,600
BW,UT,10,40,7040,0.4,PEEC2013,AMC,400
BW,UT,10,50,8732,0.5,PEEC2013,AMC,500
BW,UT,10,60,10297,0.6,PEEC2013,AMC,600
GW,MXS,10,0,241.9,0,PEEC2013,AMC,0
GW,MXS,10,10,2684,0.1,PEEC2013,AMC,100
GW,MXS,10,20,5365,0.2,PEEC2013,AMC,200
GW,MXS,10,30,7719,0.3,PEEC2013,AMC,300
GW,MXS,10,40,10175,0.4,PEEC2013,AMC,400
GW,MXS,10,50,12327,0.5,PEEC2013,AMC,500
GW,MXS,10,60,15345,0.6,PEEC2013,AMC,600
GW,UT,10,0,141.5,0,PEEC2013,AMC,0
GW,UT,10,10,1843,0.1,PEEC2013,AMC,100
GW,UT,10,20,3705,0.2,PEEC2013,AMC,200
GW,UT,10,30,5405,0.3,PEEC2013,AMC,300
GW,UT,10,40,7059,0.4,PEEC2013,AMC,400
GW,UT,10,50,8789,0.5,PEEC2013,AMC,500
GW,UT,10,60,10418,0.6,PEEC2013,AMC,600
DR,MXS,10,0,304.8,0,PEEC2013,AMC,0
DR,MXS,10,10,2679,0.1,PEEC2013,AMC,100
DR,MXS,10,20,5215,0.2,PEEC2013,AMC,200
DR,MXS,10,30,7644,0.3,PEEC2013,AMC,300
DR,MXS,10,40,9964,0.4,PEEC2013,AMC,400
DR,MXS,10,50,12466,0.5,PEEC2013,AMC,500
DR,MXS,10,60,14627,0.6,PEEC2013,AMC,600
DR,UT,10,0,194.6,0,PEEC2013,AMC,0
DR,UT,10,10,1861,0.1,PEEC2013,AMC,100
DR,UT,10,20,3643,0.2,PEEC2013,AMC,200
DR,UT,10,30,5345,0.3,PEEC2013,AMC,300
DR,UT,10,40,6976,0.4,PEEC2013,AMC,400
DR,UT,10,50,8117,0.5,PEEC2013,AMC,500
TW,MXS,10,0,735,0,PEEC2013,AMC,0
TW,MXS,10,10,2965,0.1,PEEC2013,AMC,100
TW,MXS,10,20,5227,0.2,PEEC2013,AMC,200
TW,MXS,10,30,7513,0.3,PEEC2013,AMC,300
TW,MXS,10,40,9836,0.4,PEEC2013,AMC,400
TW,MXS,10,50,12088,0.5,PEEC2013,AMC,500
TW,MXS,10,60,14329,0.6,PEEC2013,AMC,600
BS,MXS,10,0,1095,0,PEEC2013,AMC,0
BS,MXS,10,10,2420,0.1,PEEC2013,AMC,100
BS,MXS,10,20,5714,0.2,PEEC2013,AMC,200
BS,MXS,10,30,7539,0.3,PEEC2013,AMC,300
BS,MXS,10,40,9762,0.4,PEEC2013,AMC,400
BS,MXS,10,50,11948,0.5,PEEC2013,AMC,500
BS,MXS,10,60,14233,0.6,PEEC2013,AMC,600
RR,MXS,10,0,466.5,0,PEEC2013,AMC,0
RR,MXS,10,10,2847,0.1,PEEC2013,AMC,100
RR,MXS,10,20,5478,0.2,PEEC2013,AMC,200
RR,MXS,10,30,8216,0.3,PEEC2013,AMC,300
RR,MXS,10,40,9905,0.4,PEEC2013,AMC,400
RR,MXS,10,50,11475,0.5,PEEC2013,AMC,500
RR,MXS,10,60,14338,0.6,PEEC2013,AMC,600
SI,MXS,10,0,392.8,0,PEEC2013,AMC,0
SI,MXS,10,10,2727,0.1,PEEC2013,AMC,100
SI,MXS,10,20,4991,0.2,PEEC2013,AMC,200
SI,MXS,10,30,7884,0.3,PEEC2013,AMC,300
SI,MXS,10,40,10035,0.4,PEEC2013,AMC,400
SI,MXS,10,50,12448,0.5,PEEC2013,AMC,500
SI,MXS,10,60,14722,0.6,PEEC2013,AMC,600
BS,UT,10,40,7040,0.4,PEEC2013,AMC,400
BS,UT,10,50,8732,0.5,PEEC2013,AMC,500
BS,UT,10,60,10297,0.6,PEEC2013,AMC,600
EC,UT,10,40,7040,0.4,PEEC2013,AMC,400
EC,UT,10,50,8732,0.5,PEEC2013,AMC,500
EC,UT,10,60,10297,0.6,PEEC2013,AMC,600
FP,UT,10,40,7040,0.4,PEEC2013,AMC,400
FP,UT,10,50,8732,0.5,PEEC2013,AMC,500
FP,UT,10,60,10297,0.6,PEEC2013,AMC,600
