site,substrate,rep,treatment,time,RFU,std,temp,year,fluorimeter,when,fluorophore
AC,1: Arg-AMC,1,live,15:13,90680,,23.4,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,2,live,15:13,81938,,23.4,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,3,live,15:14,87955,,23.4,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,k,killed,15:14,75414,,23.4,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,1,live,15:14,63289,,23.6,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,2,live,15:14,71660,,23.6,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,3,live,15:15,78390,,23.6,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,k,killed,15:15,53773,,23.6,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,1,live,15:15,64065,,23.8,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,2,live,15:15,81864,,23.8,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,3,live,15:16,80852,,23.8,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,k,killed,15:16,68521,,23.8,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,1,live,15:17,97384,,23.8,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,2,live,15:17,85069,,23.8,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,3,live,15:18,81174,,23.8,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,k,killed,15:18,93566,,23.8,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,1,live,15:18,128150,,23.8,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,2,live,15:19,127734,,23.8,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,3,live,15:19,124183,,23.8,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,k,killed,15:19,132390,,23.8,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,1,live,15:32,82769,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,2,live,15:32,87663,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,3,live,15:33,83242,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,k,killed,15:33,53347,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,1,live,15:33,75726,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,2,live,15:33,68065,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,3,live,15:34,78546,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,k,killed,15:34,102064,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,1,live,15:34,76401,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,2,live,15:34,79888,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,3,live,15:35,77545,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,k,killed,15:35,67939,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,1,live,15:35,84212,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,2,live,15:35,84262,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,3,live,15:36,80860,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,k,killed,15:36,80426,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,1,live,15:36,143527,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,2,live,15:36,166272,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,3,live,15:37,138416,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,k,killed,15:37,145727,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,1,live,15:52,89879,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,2,live,15:53,94192,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,3,live,15:53,89826,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,k,killed,15:53,54170,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,1,live,15:54,76461,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,2,live,15:54,70855,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,3,live,15:54,82741,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,k,killed,15:55,91428,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,1,live,15:56,85819,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,2,live,15:56,106620,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,3,live,15:56,101736,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,k,killed,15:56,67999,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,1,live,15:57,99340,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,2,live,15:57,106342,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,3,live,15:57,97902,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,k,killed,15:57,81497,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,1,live,15:58,190011,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,2,live,15:58,189184,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,3,live,15:58,157789,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,k,killed,15:58,130850,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,1,live,16:13,96489,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,2,live,16:13,100583,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,3,live,16:13,95644,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,k,killed,16:14,54248,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,1,live,16:14,87642,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,2,live,16:14,74492,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,3,live,16:14,104691,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,k,killed,16:15,95597,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,1,live,16:15,109985,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,2,live,16:15,99009,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,3,live,16:15,93939,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,k,killed,16:16,59791,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,1,live,16:16,86204,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,2,live,16:16,89887,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,3,live,16:16,86492,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,k,killed,16:17,82700,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,1,live,16:17,178285,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,2,live,16:17,178012,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,3,live,16:17,171431,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,k,killed,16:17,145147,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,1,live,16:35,103216,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,2,live,16:35,107533,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,3,live,16:35,102653,,23.9,2015,UT,PEEC2015,AMC
AC,1: Arg-AMC,k,killed,16:35,54988,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,1,live,16:36,77238,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,2,live,16:36,77669,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,3,live,16:36,108228,,23.9,2015,UT,PEEC2015,AMC
AC,2: Gly-AMC,k,killed,16:36,99672,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,1,live,16:36,120673,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,2,live,16:37,109427,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,3,live,16:37,103033,,23.9,2015,UT,PEEC2015,AMC
AC,3: Leu-AMC,k,killed,16:37,60263,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,1,live,16:37,101527,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,2,live,16:38,90798,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,3,live,16:38,90252,,23.9,2015,UT,PEEC2015,AMC
AC,4: Pyr-AMC,k,killed,16:38,84407,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,1,live,16:39,196530,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,2,live,16:39,196384,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,3,live,16:39,188960,,23.9,2015,UT,PEEC2015,AMC
AC,5: GlyGlyArg-AMC,k,killed,16:39,145043,,23.9,2015,UT,PEEC2015,AMC
BB1,1: Arg-AMC,1,live,02:44,223942,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,2,live,02:46,230242,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,3,live,02:46,227284,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,k,killed,02:47,150509,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,1,live,02:47,64525,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,2,live,02:47,62686,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,3,live,02:48,63540,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,k,killed,02:48,50449,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,1,live,02:49,238928,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,2,live,02:49,233339,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,3,live,02:49,229831,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,k,killed,02:50,139341,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,1,live,02:50,217925,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,2,live,02:50,207498,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,3,live,02:51,212732,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,k,killed,02:51,194111,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,1,live,02:52,254903,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,2,live,02:52,264406,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,3,live,02:52,267838,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,k,killed,02:53,207206,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,1,live,03:00,361471,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,2,live,03:00,354040,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,3,live,03:01,344526,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,k,killed,03:01,154140,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,1,live,03:01,77592,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,2,live,03:02,74644,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,3,live,03:02,76286,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,k,killed,03:02,51586,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,1,live,03:03,354917,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,2,live,03:03,346773,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,3,live,03:03,339931,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,k,killed,03:04,139846,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,1,live,03:04,218886,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,2,live,03:04,213321,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,3,live,03:05,215777,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,k,killed,03:05,195739,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,1,live,03:05,291202,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,2,live,03:05,299062,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,3,live,03:06,304549,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,k,killed,03:06,206236,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,1,live,03:15,488007,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,2,live,03:15,477047,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,3,live,03:15,465169,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,k,killed,03:16,154855,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,1,live,03:16,90878,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,2,live,03:16,87370,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,3,live,03:16,87914,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,k,killed,03:17,51576,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,1,live,03:17,474257,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,2,live,03:17,466625,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,3,live,03:18,458912,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,k,killed,03:18,134444,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,1,live,03:18,221052,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,2,live,03:18,215478,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,3,live,03:19,219596,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,k,killed,03:19,197493,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,1,live,03:19,332478,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,2,live,03:20,341035,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,3,live,03:20,343672,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,k,killed,03:20,207313,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,1,live,03:30,624598,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,2,live,03:30,611006,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,3,live,03:31,598467,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,k,killed,03:31,154938,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,1,live,03:31,103966,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,2,live,03:31,99966,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,3,live,03:32,101252,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,k,killed,03:32,52277,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,1,live,03:33,615846,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,2,live,03:33,613456,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,3,live,03:33,592244,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,k,killed,03:33,142350,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,1,live,03:34,226733,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,2,live,03:34,220666,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,3,live,03:35,224321,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,k,killed,03:35,198240,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,1,live,03:35,378234,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,2,live,03:36,385969,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,3,live,03:36,387097,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,k,killed,03:36,209345,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,1,live,03:46,766298,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,2,live,03:46,746287,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,3,live,03:46,750117,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,k,killed,03:47,156479,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,1,live,03:47,116655,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,2,live,03:47,111826,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,3,live,03:48,114165,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,k,killed,03:48,52459,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,1,live,03:48,753263,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,2,live,03:48,745924,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,3,live,03:49,722099,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,k,killed,03:49,141508,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,1,live,03:49,231263,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,2,live,03:50,223280,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,3,live,03:50,229369,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,k,killed,03:50,199831,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,1,live,03:51,427525,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,2,live,03:51,431899,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,3,live,03:51,437913,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,k,killed,03:52,208856,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,1,live,04:00,917347,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,2,live,04:01,907001,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,3,live,04:02,874718,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,k,killed,04:02,157162,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,1,live,04:02,129958,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,2,live,04:03,124915,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,3,live,04:03,127799,,,2015,UT2,PEEC2015,AMC
BB1,2: Gly-AMC,k,killed,04:03,52593,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,1,live,04:03,900817,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,2,live,04:04,902897,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,3,live,04:04,880628,,,2015,UT2,PEEC2015,AMC
BB1,3: Leu-AMC,k,killed,04:04,142480,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,1,live,04:04,233116,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,2,live,04:05,227911,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,3,live,04:05,231919,,,2015,UT2,PEEC2015,AMC
BB1,4: Pyr-AMC,k,killed,04:05,201410,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,1,live,04:05,472357,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,2,live,04:06,476277,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,3,live,04:06,478912,,,2015,UT2,PEEC2015,AMC
BB1,5: GlyGlyArg-AMC,k,killed,04:06,209166,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,1,live,04:30,1236775,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,2,live,04:31,1170355,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,3,live,04:31,1179123,,,2015,UT2,PEEC2015,AMC
BB1,1: Arg-AMC,k,killed,04:32,158798,,,2015,UT2,PEEC2015,AMC
